This is the menu data {'item_name': 'Tuborg 650 ml', 'description': None, 'price': 610.61, 'group': 'Beer', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Carlsberg', 'description': None, 'price': 663.71, 'group': 'Beer', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Kombucha', 'description': None, 'price': 309.73, 'group': 'Beverage', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Absolute Apeach Vodka (30 ml)', 'description': None, 'price': 327.43, 'group': 'Vodka', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Absolute Apeach Vodka (60 ml )', 'description': None, 'price': 663.71, 'group': 'Vodka', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Absolute Apeach Vodka (1000 Ml)', 'description': None, 'price': 8097.34, 'group': 'Vodka', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Americano orange', 'description': None, 'price': 353.98, 'group': 'iced coffee', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Expresso lemonade', 'description': None, 'price': 309.73, 'group': 'iced coffee', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Iced chai latte', 'description': None, 'price': 336.28, 'group': 'iced coffee', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Cinnamon Vanilla Ice-Cream', 'description': None, 'price': 221.23, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Buffet Par Pax', 'description': None, 'price': 1327.43, 'group': 'Food', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Hot Garlic Paneer', 'description': None, 'price': 575.22, 'group': 'Snacks', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Omelette with Toast', 'description': None, 'price': 442.47, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'extra jam', 'description': None, 'price': 88.49, 'group': 'extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vesper Siraz Bottle', 'description': None, 'price': 3539.82, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vesper Shiraz (150ml)', 'description': None, 'price': 752.21, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
